stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
0015,富邦,1,NULL,0,0,8.43,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0050,台灣50,1,NULL,0,0,57.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0051,中100,1,NULL,0,0,29.34,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0052,FB科技,1,NULL,0,0,34.13,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0053,寶電子,1,NULL,0,0,24.03,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0054,台商50,1,NULL,0,0,21,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0055,寶金融,1,NULL,0,0,13.49,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0056,高股息,1,NULL,0,0,24.19,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0057,FB摩台,1,NULL,0,0,34.04,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0058,FB發達,1,NULL,0,0,34.23,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0059,FB金融,1,NULL,0,0,28.91,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0060,新台灣,1,NULL,0,0,30.99,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0061,寶滬深,1,2013-01-31 00:00:00.000,0.02960011625079,17,13.37,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0080,恒中國,1,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
0081,恒香港,1,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
1101,台泥,1,2012-10-16 00:00:00.000,0.0397071165969454,12,40.2,2013-09-13 00:00:00.000,NULL,NULL,NULL,Y
1102,亞泥,1,NULL,0,0,37.65,2013-09-13 00:00:00.000,NULL,http://www.wretch.cc/blog/eagle99/11080064,3.1,N
1103,嘉泥,1,NULL,0,0,14.05,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1104,環泥,1,NULL,0,0,23.2,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1107,建台,2,NULL,0,0,0.7,2012-06-06 00:00:00.000,NULL,NULL,NULL,X
1108,幸福,1,NULL,0,0,7.68,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1109,信大,1,2013-03-01 00:00:00.000,0.0133151275745116,48,10.6,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1110,東泥,1,2013-02-06 00:00:00.000,0.0461992953051391,43,15.4,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1201,味全,1,NULL,0,0,57.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1203,味王,1,NULL,0,0,22.45,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1210,大成,1,NULL,0,0,25.55,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1213,大飲,1,NULL,0,0,19.45,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1215,卜蜂,1,NULL,0,0,15,2013-09-13 00:00:00.000,NULL,NULL,2.3,N
1216,統一,1,NULL,0,0,56.5,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
1217,愛之味,1,NULL,0,0,9.85,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
1218,泰山,1,NULL,0,0,13.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1219,福壽,1,NULL,0,0,15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1220,台榮,1,2013-03-19 00:00:00.000,0.0162782927425658,48,9.83,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1225,福懋油,1,NULL,0,0,12.85,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
1227,佳格,1,NULL,0,0,89.3,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
1229,聯華,1,NULL,0,0,18.85,2013-09-13 00:00:00.000,12.35為3/17大量高點,NULL,2.3;5.2,N
1231,聯華食,1,NULL,0,0,39.9,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
1232,大統益,1,NULL,0,0,58.3,2013-09-13 00:00:00.000,NULL,NULL,4.2a,N
1233,天仁,1,NULL,0,0,46.1,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
1234,黑松,1,NULL,0,0,30.45,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1235,興泰,1,NULL,0,0,25.05,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1236,宏亞,1,NULL,0,0,26.65,2013-09-13 00:00:00.000,NULL,NULL,2.1;5.1,N
1256,F-鮮活,2,NULL,0,0,159,2013-09-13 00:00:00.000,NULL,NULL,NULL,NULL
1258,F-其祥,2,NULL,0,0,21.3,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1259,安心,2,NULL,0,0,78,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1262,F-綠悅,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1264,德麥,2,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1301,台塑,1,NULL,0,0,76.2,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1303,南亞,1,NULL,0,0,61.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1304,台聚,1,NULL,0,0,20.4,2013-09-13 00:00:00.000,NULL,NULL,5.2,N
1305,華夏,1,2013-04-03 00:00:00.000,0.0351801231798759,33,16.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
1307,三芳,1,NULL,0,0,28.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
