___stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
0015,______,1,NULL,0,0,8.43,'2013/09/13',NULL,NULL,NULL,'X'
0050,______50,1,NULL,0,0,57.1,'2013/09/13',NULL,NULL,NULL,'X'
0051,___100,1,NULL,0,0,29.34,'2013/09/13',NULL,NULL,NULL,'X'
0052,FB______,1,NULL,0,0,34.13,'2013/09/13',NULL,NULL,NULL,'X'
0053,_________,1,NULL,0,0,24.03,'2013/09/13',NULL,NULL,NULL,'X'
0054,______50,1,NULL,0,0,21,'2013/09/13',NULL,NULL,NULL,'X'
0055,_________,1,NULL,0,0,13.49,'2013/09/13',NULL,NULL,NULL,'X'
0056,_________,1,NULL,0,0,24.19,'2013/09/13',NULL,NULL,NULL,'X'
0057,FB______,1,NULL,0,0,34.04,'2013/09/13',NULL,NULL,NULL,'X'
0058,FB______,1,NULL,0,0,34.23,'2013/09/13',NULL,NULL,NULL,'X'
0059,FB______,1,NULL,0,0,28.91,'2013/09/13',NULL,NULL,NULL,'X'
0060,_________,1,NULL,0,0,30.99,'2013/09/13',NULL,NULL,NULL,'X'
0061,_________,1,'2013/01/31',0.029600116,17,13.37,'2013/09/13',NULL,NULL,NULL,'X'
0080,_________,1,'2013/09/13',0,0,0,'2013/09/13',NULL,NULL,NULL,'X'
0081,_________,1,'2013/09/13',0,0,0,'2013/09/13',NULL,NULL,NULL,'X'
1101,______,1,'2012/10/16',0.039707117,12,40.2,'2013/09/13',NULL,NULL,NULL,'Y'
1102,______,1,NULL,0,0,37.65,'2013/09/13',NULL,'http://www.wretch.cc/blog/eagle99/11080064','3.1','N'
1103,______,1,NULL,0,0,14.05,'2013/09/13',NULL,NULL,NULL,'N'
1104,______,1,NULL,0,0,23.2,'2013/09/13',NULL,NULL,NULL,'N'
1107,______,2,NULL,0,0,0.7,'2012/06/06',NULL,NULL,NULL,'X'
1108,______,1,NULL,0,0,7.68,'2013/09/13',NULL,NULL,NULL,'N'
1109,______,1,'2013/03/01',0.013315128,48,10.6,'2013/09/13',NULL,NULL,NULL,'N'
1110,______,1,'2013/02/06',0.046199295,43,15.4,'2013/09/13',NULL,NULL,NULL,'N'
1201,______,1,NULL,0,0,57.8,'2013/09/13',NULL,NULL,NULL,'N'
1203,______,1,NULL,0,0,22.45,'2013/09/13',NULL,NULL,NULL,'N'
1210,______,1,NULL,0,0,25.55,'2013/09/13',NULL,NULL,NULL,'N'
1213,______,1,NULL,0,0,19.45,'2013/09/13',NULL,NULL,NULL,'N'
1215,______,1,NULL,0,0,15,'2013/09/13',NULL,NULL,'2.3','N'
1216,______,1,NULL,0,0,56.5,'2013/09/13',NULL,NULL,'3.1','N'
1217,_________,1,NULL,0,0,9.85,'2013/09/13',NULL,NULL,'3.1','N'
1218,______,1,NULL,0,0,13.8,'2013/09/13',NULL,NULL,NULL,'N'
1219,______,1,NULL,0,0,15,'2013/09/13',NULL,NULL,NULL,'N'
1220,______,1,'2013/03/19',0.016278293,48,9.83,'2013/09/13',NULL,NULL,NULL,'N'
1225,_________,1,NULL,0,0,12.85,'2013/09/13',NULL,NULL,'3.1','N'
1227,______,1,NULL,0,0,89.3,'2013/09/13',NULL,NULL,'5.1','N'
1229,______,1,NULL,0,0,18.85,'2013/09/13','12.35___3/17____________',NULL,'2.3;5.2','N'
1231,_________,1,NULL,0,0,39.9,'2013/09/13',NULL,NULL,'5.1','N'
1232,_________,1,NULL,0,0,58.3,'2013/09/13',NULL,NULL,'4.2a','N'
1233,______,1,NULL,0,0,46.1,'2013/09/13',NULL,NULL,'5.1','N'
1234,______,1,NULL,0,0,30.45,'2013/09/13',NULL,NULL,NULL,'N'
1235,______,1,NULL,0,0,25.05,'2013/09/13',NULL,NULL,NULL,'N'
1236,______,1,NULL,0,0,26.65,'2013/09/13',NULL,NULL,'2.1;5.1','N'
1256,F-______,2,NULL,0,0,159,'2013/09/13',NULL,NULL,NULL,NULL
1258,F-______,2,NULL,0,0,21.3,'2013/09/13',NULL,NULL,NULL,'N'
1259,______,2,NULL,0,0,78,'2013/09/13',NULL,NULL,NULL,'N'
1262,F-______,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1264,______,2,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1301,______,1,NULL,0,0,76.2,'2013/09/13',NULL,NULL,NULL,'N'
1303,______,1,NULL,0,0,61.8,'2013/09/13',NULL,NULL,NULL,'N'
1304,______,1,NULL,0,0,20.4,'2013/09/13',NULL,NULL,'5.2','N'
1305,______,1,'2013/04/03',0.035180123,33,16.85,'2013/09/13',NULL,NULL,NULL,'N'
1307,______,1,NULL,0,0,28.5,'2013/09/13',NULL,NULL,NULL,'N'
1308,______,1,NULL,0,0,23.45,'2013/09/13','VA/D_______________________________________',NULL,NULL,'N'
1309,_________,1,NULL,0,0,11.3,'2013/09/13',NULL,NULL,NULL,'N'
1310,______,1,NULL,0,0,18.15,'2013/09/13',NULL,NULL,NULL,'X'
1312,______,1,NULL,0,0,20.2,'2013/09/13',NULL,NULL,NULL,'N'
1312A,_________,1,NULL,0,0,22.2,'2013/09/13',NULL,NULL,NULL,'N'
1313,______,1,NULL,0,0,13.7,'2013/09/13',NULL,NULL,'5.1','N'
1314,_________,1,NULL,0,0,14.1,'2013/09/13',NULL,NULL,'5.1','N'
1315,______,1,NULL,0,0,28.35,'2013/09/13',NULL,NULL,NULL,'N'
1316,______,1,NULL,0,0,11.7,'2013/09/13',NULL,NULL,NULL,'N'
1319,______,1,NULL,0,0,45.2,'2013/09/13',NULL,'http://www.wretch.cc/blog/eagle99/11080062','3.1','N'
1321,______,1,NULL,0,0,33.3,'2013/09/13',NULL,NULL,NULL,'N'
1323,______,1,NULL,0,0,43,'2013/09/13',NULL,NULL,NULL,'N'
1324,______,1,NULL,0,0,16,'2013/09/13',NULL,NULL,NULL,'N'
1325,______,1,NULL,0,0,18.7,'2013/09/13',NULL,NULL,NULL,'N'
1326,______,1,NULL,0,0,77.5,'2013/09/13',NULL,NULL,NULL,'N'
1333,_________,2,NULL,0,0,7.03,'2013/09/13',NULL,NULL,NULL,'N'
1336,______,2,NULL,0,0,10.25,'2013/09/13',NULL,NULL,NULL,'N'
1337,F-______,1,NULL,0,0,80.7,'2013/09/13',NULL,NULL,NULL,'N'
1338,F-______,1,NULL,0,0,77.8,'2013/09/13',NULL,NULL,NULL,NULL
1339,______,1,NULL,0,0,36.6,'2013/09/13',NULL,NULL,NULL,'N'
1340,F-______,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
1402,______,1,'2013/04/16',0.041511473,43,32.6,'2013/09/13',NULL,NULL,'3.1a','N'
1409,______,1,NULL,0,0,9.92,'2013/09/13',NULL,NULL,'5.2','N'
1410,______,1,'2013/03/11',0.036578667,30,20.35,'2013/09/13',NULL,NULL,NULL,'N'
1413,______,1,NULL,0,0,4.02,'2013/09/13',NULL,NULL,NULL,'N'
1414,______,1,NULL,0,0,9.08,'2013/09/13',NULL,NULL,NULL,'N'
1416,______,1,NULL,0,0,15.9,'2013/09/13',NULL,NULL,NULL,'N'
1417,______,1,'2013/02/25',0.031881095,24,8.5,'2013/09/13',NULL,NULL,NULL,'N'
1418,______,1,NULL,0,0,5.79,'2013/09/13',NULL,NULL,NULL,'N'
1419,______,1,NULL,0,0,38.2,'2013/09/13',NULL,NULL,NULL,'N'
1423,______,1,'2013/04/15',0.016098781,77,7.14,'2013/09/13',NULL,NULL,NULL,'N'
1432,_________,1,NULL,0,0,26.4,'2013/09/13',NULL,NULL,NULL,'N'
1434,______,1,NULL,0,0,28.5,'2013/09/13',NULL,NULL,NULL,'N'
1435,______,1,NULL,0,0,5.96,'2013/09/13',NULL,NULL,NULL,'N'
1436,______,1,NULL,0,0,53.7,'2013/09/13',NULL,NULL,NULL,'N'
1437,______,1,NULL,0,0,14.85,'2013/09/13',NULL,NULL,NULL,'N'
1438,______,1,NULL,0,0,5.89,'2013/09/13',NULL,NULL,NULL,'N'
1439,______,1,NULL,0,0,15.2,'2013/09/13',NULL,NULL,'3.1','N'
1440,______,1,NULL,0,0,16.4,'2013/09/13',NULL,NULL,NULL,'N'
